instance,depth,seed,train_acc,val_acc,test_acc,train_time
house-votes-84,4,37,0.9631901840490797,,0.9855072463768116,0.3078608512878418
house-votes-84,4,42,0.9693251533742331,,0.9710144927536232,0.3026149272918701
house-votes-84,4,53,0.9693251533742331,,0.9710144927536232,0.3004720211029053
house-votes-84,5,37,0.9631901840490797,,0.9855072463768116,0.33565306663513184
house-votes-84,5,42,0.9693251533742331,,0.9710144927536232,0.3477029800415039
house-votes-84,5,53,0.9693251533742331,,0.9710144927536232,0.31436705589294434
soybean-small,2,37,1.0,,1.0,0.1486968994140625
soybean-small,2,42,1.0,,1.0,0.17586183547973633
soybean-small,2,53,1.0,,1.0,0.16863584518432617
soybean-small,3,37,1.0,,1.0,0.18781113624572754
soybean-small,3,42,1.0,,1.0,0.19059324264526367
soybean-small,3,53,1.0,,1.0,0.1792910099029541
soybean-small,4,37,1.0,,1.0,0.18162083625793457
soybean-small,4,42,1.0,,1.0,0.1838390827178955
soybean-small,4,53,1.0,,1.0,0.1831071376800537
soybean-small,5,37,1.0,,1.0,0.1840958595275879
soybean-small,5,42,1.0,,1.0,0.18642807006835938
soybean-small,5,53,1.0,,1.0,0.20608115196228027
spect,2,37,0.7956989247311828,,0.7901234567901234,0.2643451690673828
spect,2,42,0.7956989247311828,,0.7901234567901234,0.21516704559326172
spect,2,53,0.7956989247311828,,0.7901234567901234,0.22050786018371582
spect,3,37,0.7956989247311828,,0.7901234567901234,0.2719097137451172
spect,3,42,0.7956989247311828,,0.7901234567901234,0.2544372081756592
spect,3,53,0.7956989247311828,,0.7901234567901234,0.2726459503173828
spect,4,37,0.7956989247311828,,0.7901234567901234,0.3588869571685791
spect,4,42,0.7956989247311828,,0.7901234567901234,0.33382415771484375
spect,4,53,0.7956989247311828,,0.7901234567901234,0.35924696922302246
spect,5,37,0.8924731182795699,,0.7530864197530864,0.48897504806518555
spect,5,42,0.7956989247311828,,0.7901234567901234,0.43918681144714355
spect,5,53,0.7956989247311828,,0.7901234567901234,0.48531103134155273
tic-tac-toe,2,37,0.6895522388059702,,0.7222222222222222,0.6225390434265137
tic-tac-toe,2,42,0.717910447761194,,0.6770833333333333,0.6061389446258545
tic-tac-toe,2,53,0.6955223880597015,,0.7083333333333333,0.6061999797821045
tic-tac-toe,3,37,0.7626865671641792,,0.71875,1.0180230140686035
tic-tac-toe,3,42,0.7925373134328358,,0.7326388888888888,1.0974018573760986
tic-tac-toe,3,53,0.7791044776119402,,0.75,1.092651128768921
tic-tac-toe,4,37,0.8029850746268656,,0.7534722222222222,2.242624044418335
tic-tac-toe,4,42,0.8164179104477611,,0.7638888888888888,1.6754531860351562
tic-tac-toe,4,53,0.8328358208955224,,0.8194444444444444,1.7849571704864502
tic-tac-toe,5,37,0.8477611940298507,,0.8368055555555556,2.6954081058502197
tic-tac-toe,5,42,0.8671641791044776,,0.8020833333333334,2.725471258163452
tic-tac-toe,5,53,0.8656716417910448,,0.8715277777777778,2.8399851322174072
monks-1,2,37,0.7512820512820513,,0.7349397590361446,0.2950901985168457
monks-1,2,42,0.735897435897436,,0.7710843373493976,0.30969786643981934
monks-1,2,53,0.735897435897436,,0.7710843373493976,0.29772281646728516
monks-1,3,37,0.8435897435897436,,0.8132530120481928,0.39586496353149414
monks-1,3,42,0.8948717948717949,,0.8734939759036144,0.4332101345062256
monks-1,3,53,0.8692307692307693,,0.8072289156626506,0.43158507347106934
monks-1,4,37,1.0,,1.0,0.5936126708984375
monks-1,4,42,1.0,,1.0,0.6672940254211426
monks-1,4,53,1.0,,1.0,0.6303637027740479
monks-1,5,37,1.0,,1.0,0.7659430503845215
monks-1,5,42,1.0,,1.0,0.8431010246276855
monks-1,5,53,1.0,,1.0,0.7622621059417725
monks-2,2,37,0.6571428571428571,,0.6574585635359116,0.2543210983276367
monks-2,2,42,0.6571428571428571,,0.6574585635359116,0.29965734481811523
monks-2,2,53,0.6571428571428571,,0.6574585635359116,0.2780888080596924
monks-2,3,37,0.6571428571428571,,0.6574585635359116,0.414806604385376
monks-2,3,42,0.6571428571428571,,0.6574585635359116,0.4088399410247803
monks-2,3,53,0.6571428571428571,,0.6574585635359116,0.3932061195373535
monks-2,4,37,0.6571428571428571,,0.6574585635359116,0.6558449268341064
monks-2,4,42,0.6571428571428571,,0.6574585635359116,0.858436107635498
monks-2,4,53,0.6571428571428571,,0.6574585635359116,0.6165530681610107
monks-2,5,37,0.8380952380952381,,0.7900552486187845,1.4517810344696045
monks-2,5,42,0.7761904761904762,,0.6850828729281768,1.0747551918029785
monks-2,5,53,0.819047619047619,,0.7734806629834254,1.1555070877075195
monks-3,2,37,0.9664948453608248,,0.9578313253012049,0.3564751148223877
monks-3,2,42,0.9561855670103093,,0.9819277108433735,0.33955812454223633
monks-3,2,53,0.9664948453608248,,0.9578313253012049,0.30849575996398926
monks-3,3,37,0.9896907216494846,,0.9879518072289156,0.4570469856262207
monks-3,3,42,0.9871134020618557,,0.9939759036144579,0.4422719478607178
monks-3,3,53,0.9922680412371134,,0.9819277108433735,0.4573349952697754
monks-3,4,37,0.9896907216494846,,0.9879518072289156,0.6081137657165527
monks-3,4,42,0.9871134020618557,,0.9939759036144579,0.5843157768249512
monks-3,4,53,0.9922680412371134,,0.9819277108433735,0.546842098236084
monks-3,5,37,0.9896907216494846,,0.9879518072289156,0.6418931484222412
monks-3,5,42,0.9871134020618557,,0.9939759036144579,0.7262210845947266
monks-3,5,53,0.9922680412371134,,0.9819277108433735,0.6017241477966309
