instance,depth,seed,train_acc,val_acc,test_acc,train_time,num_nodes
soybean-small,2,37,1.0,1.0,1.0,0.1266171932220459,7
soybean-small,2,42,1.0,1.0,1.0,0.12904715538024902,7
soybean-small,2,53,1.0,1.0,1.0,0.1178591251373291,7
soybean-small,3,37,1.0,1.0,0.9285714285714286,0.11555194854736328,7
soybean-small,3,42,1.0,1.0,1.0,0.12916040420532227,7
soybean-small,3,53,1.0,1.0,1.0,0.11738181114196777,7
soybean-small,4,37,1.0,1.0,0.9285714285714286,0.12105274200439453,7
soybean-small,4,42,1.0,1.0,1.0,0.1602480411529541,7
soybean-small,4,53,1.0,1.0,1.0,0.11969900131225586,7
soybean-small,5,37,1.0,1.0,0.9285714285714286,0.1293041706085205,7
soybean-small,5,42,1.0,1.0,1.0,0.12509703636169434,7
soybean-small,5,53,1.0,1.0,1.0,0.12337374687194824,7
spect,2,37,0.791044776119403,0.791044776119403,0.803030303030303,0.1579749584197998,1
spect,2,42,0.791044776119403,0.791044776119403,0.803030303030303,0.1449909210205078,1
spect,2,53,0.791044776119403,0.791044776119403,0.803030303030303,0.14685487747192383,1
spect,3,37,0.791044776119403,0.791044776119403,0.803030303030303,0.19086575508117676,1
spect,3,42,0.791044776119403,0.791044776119403,0.803030303030303,0.2034752368927002,1
spect,3,53,0.791044776119403,0.791044776119403,0.803030303030303,0.18945097923278809,1
spect,4,37,0.791044776119403,0.791044776119403,0.803030303030303,0.24729013442993164,1
spect,4,42,0.791044776119403,0.791044776119403,0.803030303030303,0.2181549072265625,1
spect,4,53,0.791044776119403,0.791044776119403,0.803030303030303,0.23407578468322754,1
spect,5,37,0.8656716417910448,0.835820895522388,0.7575757575757576,0.3220021724700928,11
spect,5,42,0.791044776119403,0.791044776119403,0.803030303030303,0.24587583541870117,1
spect,5,53,0.791044776119403,0.791044776119403,0.803030303030303,0.2818758487701416,1
tic-tac-toe,2,37,0.7035490605427974,0.7112970711297071,0.7041666666666666,0.35162997245788574,5
tic-tac-toe,2,42,0.7035490605427974,0.6401673640167365,0.75,0.3716013431549072,3
tic-tac-toe,2,53,0.7286012526096033,0.6861924686192469,0.6666666666666667,0.3873910903930664,5
tic-tac-toe,3,37,0.755741127348643,0.7615062761506276,0.725,0.5674359798431396,7
tic-tac-toe,3,42,0.791231732776618,0.7154811715481171,0.7833333333333333,0.6390430927276611,15
tic-tac-toe,3,53,0.755741127348643,0.7364016736401673,0.75,0.543755054473877,7
