instance,depth,seed,train_acc,val_acc,test_acc,train_time
spect,3,42,0.8872180451127819,0.7611940298507462,0.7313432835820896,0.001094818115234375
spect,3,53,0.8195488721804511,0.7761194029850746,0.8059701492537313,0.0007359981536865234
spect,4,37,0.8571428571428571,0.746268656716418,0.7910447761194029,0.0007138252258300781
spect,4,42,0.9323308270676691,0.7014925373134329,0.7014925373134329,0.0007758140563964844
spect,4,53,0.8421052631578947,0.7761194029850746,0.835820895522388,0.0006561279296875
spect,5,37,0.8796992481203008,0.746268656716418,0.7910447761194029,0.0009198188781738281
spect,5,42,0.9398496240601504,0.6865671641791045,0.6865671641791045,0.000949859619140625
spect,5,53,0.8646616541353384,0.7611940298507462,0.7910447761194029,0.0007970333099365234
tic-tac-toe,2,37,0.7202505219206681,0.694560669456067,0.675,0.0011680126190185547
tic-tac-toe,2,42,0.6910229645093946,0.6778242677824268,0.7375,0.0010118484497070312
tic-tac-toe,2,53,0.7035490605427975,0.698744769874477,0.7166666666666667,0.0007901191711425781
tic-tac-toe,3,37,0.7286012526096033,0.702928870292887,0.6791666666666667,0.0013172626495361328
tic-tac-toe,3,42,0.7411273486430062,0.7573221757322176,0.775,0.0009949207305908203
tic-tac-toe,3,53,0.7599164926931107,0.7280334728033473,0.6833333333333333,0.0012950897216796875
tic-tac-toe,4,37,0.8037578288100209,0.7573221757322176,0.7916666666666666,0.0011179447174072266
tic-tac-toe,4,42,0.8162839248434238,0.7824267782426778,0.8458333333333333,0.001544952392578125
tic-tac-toe,4,53,0.81419624217119,0.8075313807531381,0.7625,0.0010519027709960938
tic-tac-toe,5,37,0.8643006263048016,0.7907949790794979,0.8,0.0010979175567626953
tic-tac-toe,5,42,0.8559498956158664,0.8451882845188284,0.8416666666666667,0.0012547969818115234
tic-tac-toe,5,53,0.8622129436325678,0.803347280334728,0.7875,0.0013549327850341797
monks-1,2,37,0.7733812949640287,0.697841726618705,0.7410071942446043,0.0008451938629150391
monks-1,2,42,0.7482014388489209,0.7338129496402878,0.7553956834532374,0.0006570816040039062
monks-1,2,53,0.7769784172661871,0.7338129496402878,0.697841726618705,0.0006127357482910156
monks-1,3,37,0.8633093525179856,0.7841726618705036,0.8273381294964028,0.0007297992706298828
monks-1,3,42,0.7482014388489209,0.7338129496402878,0.7553956834532374,0.0008172988891601562
monks-1,3,53,0.8633093525179856,0.8273381294964028,0.7841726618705036,0.0011570453643798828
monks-1,4,37,0.8633093525179856,0.7841726618705036,0.8273381294964028,0.0007390975952148438
monks-1,4,42,0.7553956834532374,0.6546762589928058,0.7194244604316546,0.0008828639984130859
monks-1,4,53,0.8633093525179856,0.8273381294964028,0.7841726618705036,0.0006160736083984375
monks-1,5,37,0.8669064748201439,0.8057553956834532,0.7553956834532374,0.0007653236389160156
monks-1,5,42,0.7841726618705036,0.6834532374100719,0.7338129496402878,0.0007832050323486328
monks-1,5,53,0.8812949640287769,0.8201438848920863,0.762589928057554,0.000926971435546875
monks-2,2,37,0.6266666666666667,0.6733333333333333,0.7019867549668874,0.0010919570922851562
monks-2,2,42,0.64,0.68,0.6688741721854304,0.0005970001220703125
monks-2,2,53,0.6466666666666666,0.72,0.6158940397350994,0.0008971691131591797
monks-2,3,37,0.6766666666666666,0.6266666666666667,0.4966887417218543,0.0007982254028320312
monks-2,3,42,0.6566666666666666,0.66,0.6556291390728477,0.0011179447174072266
monks-2,3,53,0.6866666666666666,0.66,0.5629139072847682,0.0009517669677734375
monks-2,4,37,0.7166666666666667,0.6266666666666667,0.5827814569536424,0.001068115234375
monks-2,4,42,0.7033333333333334,0.64,0.6291390728476821,0.0008220672607421875
monks-2,4,53,0.7133333333333334,0.5866666666666667,0.5960264900662252,0.0007131099700927734
monks-2,5,37,0.8,0.7733333333333333,0.6688741721854304,0.0010540485382080078
monks-2,5,42,0.7966666666666666,0.6666666666666666,0.6556291390728477,0.0007600784301757812
monks-2,5,53,0.83,0.8,0.6688741721854304,0.0016241073608398438
monks-3,2,37,0.9711191335740073,0.9492753623188406,0.9640287769784173,0.0012998580932617188
monks-3,2,42,0.9711191335740073,0.9492753623188406,0.9640287769784173,0.0007631778717041016
